RespondentN;StimulusN;TimeStampMS;GazeXPrc;GazeYPrc
6;22;187;0.583;0.251
6;22;220;0.587;0.254
6;22;254;0.582;0.248
6;22;287;0.583;0.246
6;22;320;0.576;0.248
6;22;354;0.583;0.236
6;22;388;0.581;0.234
6;22;421;0.583;0.239
6;23;0;0.579;0.21
6;23;19;0.58;0.221
6;23;87;0.583;0.231
6;23;336;0.581;0.249
6;23;402;0.578;0.293
6;23;435;0.579;0.321
6;25;0;0.555;0.235
6;25;0;0.561;0.237
6;25;49;0.571;0.254
6;25;82;0.572;0.268
6;25;198;0.573;0.268
6;25;266;0.585;0.284
6;25;332;0.598;0.314
6;25;365;0.604;0.332
6;25;398;0.607;0.35
6;25;432;0.608;0.371
6;26;0;0.605;0.4
6;26;0;0.607;0.42
6;26;29;0.609;0.439
6;26;65;0.608;0.446
6;26;100;0.608;0.463
6;26;132;0.607;0.475
6;26;166;0.608;0.481
6;26;199;0.623;0.437
6;26;233;0.628;0.421
6;26;265;0.627;0.41
6;26;300;0.624;0.401
6;26;333;0.62;0.397
6;26;365;0.613;0.389
6;26;399;0.606;0.38
6;28;0;0.568;0.357
6;28;31;0.566;0.376
6;28;65;0.564;0.382
6;28;97;0.561;0.383
6;28;131;0.565;0.335
6;28;315;0.575;0.315
6;28;348;0.576;0.296
6;29;0;0.574;0.269
6;29;14;0.571;0.248
6;29;47;0.566;0.238
6;29;81;0.555;0.226
6;29;148;0.56;0.22
6;29;182;0.565;0.212
6;29;247;0.571;0.21
6;29;281;0.575;0.215
6;29;314;0.579;0.223
6;29;347;0.575;0.216
6;29;381;0.575;0.208
6;29;413;0.576;0.208
6;31;0;0.565;0.372
6;31;0;0.56;0.369
6;31;10;0.561;0.36
6;31;43;0.558;0.348
6;31;79;0.554;0.34
6;31;111;0.551;0.336
6;31;146;0.528;0.287
6;32;0;0.563;0.325
6;32;11;0.568;0.353
6;32;94;0.573;0.355
6;32;127;0.574;0.336
6;32;160;0.577;0.327
6;32;260;0.578;0.323
6;32;294;0.578;0.316
6;32;327;0.579;0.309
6;32;360;0.582;0.304
6;32;394;0.588;0.299
6;34;0;0.6;0.292
6;34;26;0.583;0.274
6;34;59;0.569;0.26
6;34;93;0.552;0.253
6;34;159;0.545;0.224
6;34;193;0.543;0.216
6;34;226;0.542;0.206
6;34;259;0.539;0.196
6;34;290;0.537;0.185
6;34;345;0.536;0.18
6;35;0;0.521;0.192
6;35;9;0.518;0.206
6;35;43;0.524;0.229
6;35;76;0.527;0.239
6;35;142;0.53;0.239
6;35;176;0.535;0.235
6;35;242;0.539;0.237
6;35;275;0.542;0.24
6;35;309;0.542;0.243
6;35;342;0.545;0.247
6;35;376;0.548;0.253
6;35;409;0.552;0.269
6;35;442;0.553;0.292
8;1;0;0.512;0.417
8;1;0;0.514;0.409
8;1;22;0.517;0.396
8;1;55;0.521;0.383
8;1;88;0.526;0.369
8;1;155;0.528;0.357
8;1;222;0.528;0.352
8;1;255;0.53;0.35
8;1;290;0.531;0.348
8;2;0;0.532;0.331
8;2;21;0.536;0.323
8;2;88;0.536;0.319
8;2;154;0.534;0.283
8;2;188;0.531;0.262
8;2;287;0.522;0.24
8;2;321;0.523;0.241
8;2;388;0.521;0.255
8;2;421;0.518;0.27
8;4;0;0.506;0.303
8;4;21;0.508;0.298
8;4;54;0.509;0.29
8;4;120;0.508;0.267
8;4;153;0.508;0.256
8;4;186;0.508;0.249
8;4;220;0.507;0.242
8;4;253;0.505;0.237
8;4;290;0.503;0.23
8;4;320;0.503;0.222
8;4;353;0.504;0.218
8;4;386;0.501;0.221
8;4;420;0.5;0.225
8;5;0;0.496;0.237
8;5;20;0.496;0.252
8;5;53;0.494;0.265
8;5;87;0.492;0.276
8;5;119;0.493;0.291
8;5;152;0.494;0.307
8;5;187;0.497;0.325
8;5;221;0.499;0.343
8;5;253;0.501;0.363
8;5;287;0.504;0.387
8;5;321;0.505;0.403
8;5;353;0.506;0.408
8;5;420;0.5;0.405
8;7;0;0.524;0.27
8;7;0;0.525;0.26
8;7;18;0.523;0.257
8;7;52;0.522;0.26
8;7;86;0.523;0.253
8;7;120;0.522;0.25
8;7;152;0.521;0.245
8;7;186;0.522;0.232
8;7;252;0.522;0.223
8;7;286;0.522;0.217
8;7;319;0.52;0.213
8;7;352;0.518;0.209
8;8;0;0.514;0.211
8;8;19;0.509;0.235
8;8;86;0.508;0.241
8;8;119;0.509;0.237
8;8;153;0.505;0.247
8;8;186;0.498;0.26
8;8;219;0.494;0.265
8;8;285;0.493;0.262
8;8;319;0.491;0.262
8;8;352;0.491;0.26
8;8;386;0.491;0.264
8;8;420;0.49;0.267
8;10;0;0.523;0.232
8;10;0;0.522;0.226
8;10;18;0.522;0.221
8;10;52;0.524;0.218
8;10;87;0.523;0.224
8;10;119;0.519;0.221
8;10;151;0.518;0.22
8;10;185;0.511;0.205
8;10;218;0.508;0.198
8;10;252;0.507;0.189
8;10;285;0.507;0.182
8;10;318;0.508;0.175
8;10;351;0.5;0.192
8;10;385;0.498;0.204
8;10;418;0.498;0.218
8;11;0;0.501;0.236
8;11;0;0.494;0.227
8;11;17;0.493;0.233
8;11;84;0.492;0.244
8;11;118;0.491;0.257
8;11;150;0.49;0.249
8;11;217;0.491;0.258
8;11;252;0.492;0.26
8;11;284;0.493;0.265
8;11;317;0.493;0.275
8;11;350;0.495;0.277
8;11;384;0.497;0.281
8;13;0;0.485;0.232
8;13;0;0.484;0.229
8;13;15;0.482;0.226
8;13;49;0.481;0.224
8;13;83;0.48;0.221
8;13;115;0.478;0.221
8;13;149;0.476;0.222
8;13;182;0.476;0.223
8;13;216;0.475;0.226
8;13;249;0.476;0.232
8;13;282;0.476;0.236
8;13;316;0.477;0.241
8;13;348;0.477;0.245
8;13;382;0.478;0.249
8;13;414;0.478;0.253
8;14;0;0.48;0.291
8;14;0;0.481;0.312
8;14;14;0.483;0.327
8;14;47;0.485;0.342
8;14;82;0.488;0.358
8;14;115;0.491;0.385
8;14;148;0.48;0.411
8;14;180;0.478;0.42
8;14;216;0.479;0.425
8;14;250;0.482;0.432
8;14;281;0.486;0.441
8;14;315;0.496;0.439
8;14;349;0.507;0.446
8;14;380;0.513;0.438
8;16;0;0.491;0.269
8;16;0;0.495;0.285
8;16;47;0.495;0.315
8;16;81;0.494;0.33
8;16;113;0.493;0.343
8;16;147;0.493;0.356
8;16;180;0.492;0.369
8;16;213;0.489;0.384
8;16;246;0.488;0.4
8;16;313;0.484;0.419
8;16;347;0.482;0.433
8;16;380;0.487;0.403
8;16;414;0.481;0.421
8;17;0;0.491;0.419
8;17;0;0.485;0.414
8;17;13;0.486;0.417
8;17;46;0.488;0.421
8;17;78;0.494;0.419
8;17;113;0.498;0.414
8;17;147;0.503;0.402
8;17;179;0.506;0.393
8;17;245;0.5;0.369
8;17;278;0.5;0.355
8;17;312;0.5;0.342
8;17;346;0.501;0.328
8;17;380;0.503;0.314
8;17;413;0.503;0.304
8;17;446;0.504;0.29
8;19;0;0.495;0.322
8;19;0;0.497;0.323
8;19;10;0.498;0.326
8;19;44;0.497;0.329
8;19;77;0.499;0.335
8;19;112;0.503;0.335
8;19;145;0.504;0.329
8;19;177;0.506;0.325
8;19;210;0.507;0.317
8;19;245;0.509;0.31
8;19;276;0.511;0.304
8;19;310;0.51;0.297
8;19;344;0.51;0.291
8;19;377;0.51;0.283
8;19;410;0.508;0.278
8;20;0;0.507;0.274
8;20;0;0.505;0.268
8;20;10;0.505;0.264
8;20;42;0.504;0.26
8;20;77;0.503;0.294
8;20;109;0.502;0.308
8;20;143;0.501;0.323
8;20;176;0.5;0.335
8;20;209;0.501;0.347
8;20;242;0.497;0.377
8;20;277;0.495;0.395
8;20;309;0.491;0.478
8;20;345;0.492;0.486
8;20;376;0.497;0.484
8;20;410;0.504;0.478
8;22;0;0.519;0.334
8;22;6;0.519;0.31
8;22;39;0.517;0.308
8;22;73;0.514;0.305
8;22;106;0.512;0.303
8;22;141;0.511;0.309
8;22;172;0.512;0.315
8;22;206;0.514;0.32
8;22;240;0.515;0.32
8;22;273;0.519;0.309
8;22;307;0.518;0.301
8;22;340;0.518;0.299
8;22;373;0.517;0.306
8;22;406;0.518;0.32
8;22;440;0.519;0.334
8;23;0;0.52;0.341
8;23;6;0.522;0.353
8;23;39;0.524;0.362
8;23;71;0.526;0.37
8;23;105;0.527;0.377
8;23;139;0.529;0.381
8;23;171;0.529;0.383
8;23;205;0.529;0.387
8;23;239;0.528;0.388
8;23;272;0.527;0.391
8;23;306;0.528;0.39
8;23;339;0.53;0.379
8;23;373;0.529;0.37
8;23;406;0.528;0.364
8;23;440;0.528;0.357
8;25;0;0.504;0.299
8;25;0;0.505;0.305
8;25;32;0.505;0.312
8;25;65;0.504;0.322
8;25;98;0.503;0.339
8;25;131;0.502;0.352
8;25;165;0.504;0.361
8;25;198;0.506;0.369
8;25;232;0.507;0.371
8;25;265;0.509;0.376
8;25;298;0.512;0.383
8;25;332;0.515;0.389
8;25;365;0.513;0.394
8;25;399;0.516;0.399
8;25;431;0.519;0.405
8;26;0;0.522;0.409
8;26;0;0.518;0.453
8;26;30;0.51;0.474
8;26;64;0.507;0.489
8;26;97;0.52;0.506
8;26;130;0.523;0.516
8;26;163;0.518;0.519
8;26;197;0.523;0.534
8;26;230;0.525;0.541
8;26;263;0.516;0.527
8;26;299;0.511;0.522
8;26;331;0.508;0.523
8;26;364;0.513;0.528
8;26;397;0.516;0.531
8;26;431;0.522;0.517
8;28;0;0.497;0.466
8;28;0;0.5;0.491
8;28;28;0.501;0.51
8;28;63;0.499;0.529
8;28;96;0.496;0.532
8;28;129;0.488;0.526
8;28;196;0.491;0.52
8;28;229;0.5;0.531
8;28;296;0.488;0.529
8;28;330;0.488;0.53
8;28;363;0.5;0.54
8;28;397;0.501;0.545
8;28;430;0.501;0.52
8;29;0;0.496;0.512
8;29;0;0.497;0.513
8;29;29;0.494;0.507
8;29;62;0.494;0.502
8;29;96;0.493;0.495
8;29;129;0.494;0.488
8;29;164;0.495;0.482
8;29;196;0.496;0.48
8;29;230;0.498;0.479
8;29;263;0.498;0.478
8;29;297;0.498;0.477
8;29;363;0.499;0.475
8;29;396;0.496;0.47
8;31;0;0.482;0.51
8;31;0;0.478;0.501
8;31;28;0.475;0.499
8;31;60;0.474;0.495
8;31;128;0.473;0.488
8;31;160;0.474;0.481
8;31;195;0.472;0.475
8;31;227;0.47;0.471
8;31;261;0.47;0.467
8;31;294;0.468;0.463
8;31;362;0.469;0.456
8;31;395;0.467;0.449
8;31;430;0.469;0.447
8;32;0;0.469;0.439
8;32;0;0.46;0.46
8;32;28;0.469;0.478
8;32;61;0.478;0.491
8;32;94;0.483;0.509
8;32;128;0.48;0.526
8;32;161;0.477;0.542
8;32;194;0.47;0.549
8;32;261;0.465;0.55
8;32;294;0.471;0.553
8;32;328;0.482;0.556
8;32;362;0.475;0.554
8;32;395;0.479;0.546
8;32;427;0.48;0.548
8;34;0;0.48;0.378
8;34;0;0.481;0.368
8;34;26;0.482;0.364
8;34;60;0.482;0.36
8;34;95;0.477;0.341
8;34;126;0.474;0.332
8;34;160;0.473;0.322
8;34;194;0.473;0.315
8;34;226;0.471;0.308
8;34;260;0.471;0.304
8;34;293;0.471;0.298
8;34;327;0.472;0.294
8;34;360;0.472;0.291
8;34;393;0.472;0.288
8;34;427;0.472;0.285
8;35;0;0.472;0.284
8;35;0;0.471;0.282
8;35;25;0.471;0.282
8;35;59;0.471;0.283
8;35;92;0.472;0.287
8;35;125;0.473;0.291
8;35;159;0.474;0.294
8;35;193;0.477;0.297
8;35;226;0.477;0.3
8;35;258;0.478;0.301
8;35;293;0.479;0.303
8;35;325;0.478;0.302
8;35;358;0.475;0.3
8;35;392;0.475;0.3
8;35;426;0.474;0.299
10;1;0;0.417;0.395
10;1;0;0.431;0.428
10;1;53;0.434;0.432
10;1;89;0.432;0.431
10;1;120;0.432;0.434
10;1;187;0.433;0.438
10;1;223;0.433;0.44
10;1;288;0.436;0.445
10;2;0;0.439;0.419
10;2;65;0.442;0.412
10;2;99;0.443;0.41
10;2;166;0.444;0.417
10;2;199;0.445;0.42
10;2;232;0.443;0.427
10;2;265;0.443;0.433
10;2;299;0.442;0.44
10;2;333;0.443;0.445
10;2;366;0.442;0.449
10;2;399;0.436;0.455
10;2;435;0.436;0.458
10;4;0;0.424;0.5
10;4;0;0.424;0.5
10;4;31;0.426;0.499
10;4;64;0.427;0.495
10;4;98;0.428;0.495
10;4;131;0.426;0.495
10;4;164;0.427;0.497
10;4;195;0.426;0.5
10;4;231;0.424;0.501
10;4;264;0.42;0.505
10;4;298;0.417;0.508
10;5;0;0.409;0.561
10;5;0;0.408;0.574
10;5;264;0.417;0.559
10;5;298;0.419;0.548
10;5;330;0.423;0.538
10;5;399;0.426;0.523
10;5;432;0.43;0.512
10;7;0;0.454;0.656
10;7;0;0.453;0.648
10;7;29;0.453;0.641
10;7;63;0.454;0.631
10;7;97;0.453;0.621
10;7;130;0.452;0.611
10;7;163;0.452;0.6
10;7;196;0.453;0.589
10;7;231;0.452;0.579
10;7;264;0.453;0.571
10;7;297;0.454;0.561
10;7;329;0.454;0.552
10;7;366;0.452;0.544
10;7;397;0.45;0.536
10;7;430;0.447;0.528
10;8;0;0.445;0.522
10;8;0;0.443;0.519
10;8;29;0.441;0.516
10;8;62;0.439;0.514
10;8;93;0.438;0.514
10;8;129;0.439;0.514
10;8;164;0.44;0.516
10;8;195;0.439;0.516
10;8;228;0.439;0.515
10;10;0;0.44;0.52
10;10;28;0.436;0.529
10;10;61;0.435;0.537
10;10;97;0.434;0.543
10;10;161;0.434;0.546
10;10;195;0.436;0.547
10;10;228;0.438;0.548
10;10;295;0.437;0.549
10;10;328;0.44;0.554
10;11;0;0.446;0.578
10;11;0;0.446;0.587
10;11;28;0.444;0.589
10;11;61;0.444;0.592
10;11;95;0.442;0.589
10;11;161;0.441;0.588
10;11;194;0.44;0.586
10;11;226;0.443;0.589
10;11;291;0.444;0.591
10;11;328;0.445;0.594
10;11;358;0.445;0.593
10;11;427;0.447;0.59
10;13;194;0.436;0.568
10;14;8;0.432;0.582
10;14;40;0.434;0.592
10;14;70;0.432;0.606
10;14;108;0.432;0.624
10;14;292;0.434;0.64
10;16;0;0.433;0.603
10;16;156;0.437;0.604
10;16;190;0.443;0.607
10;16;223;0.446;0.608
10;16;255;0.445;0.605
10;16;290;0.437;0.603
10;16;324;0.433;0.602
10;17;0;0.441;0.57
10;17;0;0.441;0.563
10;17;22;0.444;0.562
10;17;56;0.446;0.564
10;17;90;0.449;0.565
10;17;123;0.45;0.572
10;17;156;0.451;0.573
10;17;189;0.449;0.575
10;17;223;0.449;0.576
10;17;256;0.448;0.58
10;17;289;0.449;0.581
10;19;0;0.456;0.92
10;19;0;0.46;0.894
10;19;30;0.46;0.874
10;19;64;0.46;0.849
10;19;98;0.46;0.83
10;19;128;0.46;0.815
10;19;163;0.461;0.758
10;19;199;0.461;0.745
10;19;233;0.459;0.733
10;19;266;0.46;0.717
10;19;299;0.461;0.698
10;19;332;0.46;0.688
10;19;361;0.46;0.68
10;19;399;0.462;0.673
10;19;434;0.463;0.659
10;20;0;0.468;0.654
10;20;0;0.471;0.656
10;20;30;0.468;0.683
10;20;66;0.468;0.695
10;20;97;0.468;0.708
10;20;132;0.47;0.714
10;20;166;0.469;0.727
10;20;199;0.468;0.738
10;20;232;0.468;0.748
10;20;266;0.467;0.76
10;20;299;0.467;0.767
10;20;333;0.466;0.774
10;20;367;0.465;0.782
10;20;398;0.463;0.788
10;20;432;0.462;0.796
10;22;0;0.439;0.625
10;22;0;0.437;0.614
10;22;29;0.435;0.603
10;22;59;0.433;0.592
10;22;98;0.432;0.583
10;22;130;0.43;0.579
10;22;165;0.431;0.58
10;22;198;0.431;0.58
10;22;231;0.434;0.578
10;22;264;0.435;0.579
10;22;298;0.436;0.58
10;22;331;0.437;0.582
10;22;365;0.438;0.584
10;22;398;0.438;0.585
10;22;431;0.44;0.587
10;23;0;0.443;0.587
10;23;0;0.448;0.596
10;23;30;0.45;0.598
10;23;64;0.452;0.6
10;23;97;0.456;0.602
10;23;130;0.458;0.604
10;23;164;0.46;0.605
10;23;197;0.462;0.607
10;23;231;0.464;0.607
10;23;263;0.463;0.608
10;23;297;0.464;0.609
10;23;330;0.466;0.609
10;23;364;0.466;0.61
10;23;397;0.466;0.61
10;23;430;0.467;0.615
10;25;0;0.46;0.553
10;25;0;0.462;0.549
10;25;29;0.462;0.55
10;25;63;0.459;0.548
10;25;96;0.458;0.545
10;25;130;0.459;0.542
10;25;158;0.459;0.542
10;25;196;0.459;0.542
10;25;229;0.457;0.543
10;25;263;0.457;0.543
10;25;296;0.458;0.545
10;25;329;0.457;0.547
10;25;363;0.456;0.554
10;25;394;0.457;0.558
10;26;0;0.457;0.56
10;26;0;0.456;0.561
10;26;26;0.458;0.566
10;26;64;0.458;0.611
10;26;94;0.458;0.624
10;26;129;0.459;0.64
10;26;161;0.458;0.657
10;26;195;0.456;0.673
10;26;228;0.457;0.685
10;26;261;0.456;0.677
10;26;295;0.453;0.658
10;26;324;0.453;0.655
10;26;362;0.453;0.648
10;26;395;0.454;0.644
10;26;429;0.455;0.641
10;28;0;0.455;0.556
10;28;0;0.451;0.548
10;28;25;0.448;0.544
10;28;60;0.443;0.547
10;28;88;0.44;0.549
10;28;126;0.438;0.551
10;28;160;0.438;0.553
10;28;193;0.439;0.554
10;28;221;0.44;0.552
10;28;260;0.438;0.548
10;28;292;0.438;0.546
10;28;326;0.438;0.544
10;28;358;0.438;0.54
10;28;388;0.438;0.537
10;28;426;0.437;0.535
10;29;0;0.438;0.535
10;29;0;0.437;0.533
10;29;25;0.437;0.531
10;29;59;0.437;0.532
10;29;92;0.437;0.534
10;29;122;0.437;0.534
10;29;159;0.435;0.534
10;29;193;0.434;0.537
10;29;225;0.434;0.54
10;29;259;0.434;0.546
10;29;327;0.433;0.55
10;29;358;0.433;0.555
10;29;390;0.435;0.56
10;29;421;0.437;0.565
10;31;0;0.473;0.648
10;31;0;0.472;0.639
10;31;24;0.472;0.63
10;31;57;0.471;0.624
10;31;90;0.469;0.616
10;31;124;0.465;0.605
10;31;158;0.462;0.594
10;31;189;0.46;0.582
10;31;224;0.456;0.567
10;31;257;0.453;0.557
10;31;286;0.45;0.544
10;31;322;0.446;0.533
10;31;357;0.443;0.522
10;31;391;0.439;0.514
10;31;424;0.439;0.545
10;32;0;0.439;0.566
10;32;0;0.438;0.578
10;32;23;0.44;0.59
10;32;56;0.438;0.604
10;32;89;0.438;0.616
10;32;126;0.438;0.627
10;32;156;0.438;0.641
10;32;189;0.441;0.653
10;32;222;0.443;0.663
10;32;287;0.446;0.673
10;32;322;0.449;0.682
10;32;356;0.452;0.689
10;32;390;0.449;0.685
10;32;423;0.45;0.698
10;34;71;0.435;0.478
10;34;105;0.434;0.467
10;34;139;0.437;0.453
10;34;204;0.438;0.443
10;34;304;0.438;0.437
10;35;0;0.441;0.426
10;35;0;0.44;0.424
10;35;19;0.437;0.427
10;35;86;0.44;0.437