#[RespondentNr];[StimulusNr];[timestamp ms];[Gaze x %];[Gaze y %]
2;23;21;0.465;0.402
2;23;55;0.464;0.403
2;23;89;0.466;0.406
2;23;119;0.468;0.407
2;23;156;0.475;0.401
2;23;187;0.477;0.397
2;23;221;0.478;0.395
2;23;254;0.478;0.395
2;23;287;0.477;0.392
2;23;320;0.477;0.392
2;23;351;0.477;0.39
2;23;388;0.478;0.394
2;23;420;0.479;0.395
2;24;0;0.478;0.412
2;24;0;0.476;0.448
2;24;20;0.474;0.464
2;24;53;0.472;0.479
2;24;87;0.472;0.485
2;24;120;0.471;0.488
2;24;150;0.47;0.498
2;24;187;0.473;0.482
2;24;220;0.48;0.463
2;24;254;0.484;0.46
2;24;287;0.483;0.46
2;24;320;0.486;0.461
2;24;351;0.488;0.461
2;24;389;0.49;0.463
2;24;420;0.489;0.462
2;25;0;0.487;0.461
2;25;0;0.481;0.457
2;25;20;0.473;0.455
2;25;54;0.468;0.453
2;25;84;0.464;0.45
2;25;120;0.456;0.446
2;25;154;0.455;0.434
2;25;187;0.453;0.424
2;25;220;0.455;0.414
2;25;253;0.456;0.399
2;25;288;0.455;0.386
2;25;321;0.456;0.374
2;25;356;0.457;0.357
2;25;386;0.462;0.342
2;25;420;0.467;0.33
2;26;0;0.472;0.322
2;26;0;0.474;0.339
2;26;21;0.48;0.343
2;26;51;0.486;0.344
2;26;86;0.494;0.343
2;26;122;0.501;0.341
2;26;154;0.508;0.342
2;26;187;0.513;0.343
2;26;219;0.519;0.346
2;26;253;0.523;0.349
2;26;286;0.53;0.333
2;26;320;0.534;0.321
2;26;353;0.536;0.31
2;26;386;0.54;0.302
2;26;420;0.548;0.299
2;27;0;0.548;0.3
2;27;0;0.549;0.294
2;27;21;0.547;0.29
2;27;51;0.547;0.284
2;27;120;0.534;0.27
2;27;155;0.528;0.265
2;27;187;0.522;0.259
2;27;221;0.517;0.253
2;27;253;0.51;0.248
2;27;286;0.504;0.245
2;27;319;0.498;0.244
2;27;351;0.492;0.245
2;27;386;0.484;0.248
2;27;420;0.478;0.249
2;28;0;0.47;0.248
2;28;0;0.463;0.246
2;28;21;0.459;0.279
2;28;53;0.452;0.302
2;28;86;0.447;0.316
2;28;120;0.445;0.328
2;28;153;0.446;0.338
2;28;186;0.454;0.347
2;28;220;0.459;0.36
2;28;253;0.464;0.381
2;28;287;0.468;0.393
2;28;319;0.468;0.399
2;28;353;0.471;0.401
2;28;385;0.472;0.405
2;28;419;0.472;0.41
2;29;0;0.472;0.409
2;29;0;0.475;0.411
2;29;19;0.478;0.403
2;29;53;0.48;0.395
2;29;86;0.484;0.386
2;29;119;0.485;0.377
2;29;152;0.486;0.371
2;29;187;0.485;0.365
2;29;221;0.483;0.359
2;29;252;0.477;0.349
2;29;286;0.47;0.344
2;29;320;0.464;0.338
2;29;352;0.459;0.332
2;29;387;0.456;0.324
2;29;418;0.457;0.312
2;30;0;0.457;0.308
2;30;0;0.459;0.37
2;30;118;0.53;1.093
2;30;153;0.524;1.015
2;30;186;0.512;0.638
2;30;219;0.516;0.57
2;30;253;0.516;0.533
2;30;286;0.514;0.509
2;30;319;0.513;0.493
2;30;353;0.515;0.483
2;30;386;0.515;0.473
2;30;419;0.516;0.465
2;31;0;0.514;0.456
2;31;0;0.507;0.449
2;31;18;0.498;0.446
2;31;52;0.487;0.442
2;31;86;0.482;0.439
2;31;118;0.476;0.435
2;31;154;0.468;0.42
2;31;186;0.462;0.411
2;31;219;0.454;0.407
2;31;252;0.446;0.403
2;31;285;0.439;0.4
2;31;318;0.431;0.394
2;31;352;0.425;0.39
2;31;386;0.426;0.384
2;31;419;0.429;0.381
2;32;0;0.429;0.379
2;32;0;0.429;0.38
2;32;18;0.431;0.383
2;32;52;0.43;0.425
2;32;85;0.43;0.441
2;32;117;0.43;0.453
2;32;151;0.433;0.467
2;32;181;0.435;0.48
2;32;219;0.436;0.491
2;32;253;0.439;0.506
2;32;285;0.442;0.518
2;32;318;0.453;0.5
2;32;351;0.459;0.496
2;32;384;0.463;0.497
2;32;419;0.464;0.497
2;32;451;0.467;0.497
2;33;0;0.469;0.503
2;33;18;0.472;0.507
2;33;51;0.473;0.503
2;33;84;0.474;0.5
2;33;117;0.473;0.496
2;33;151;0.472;0.492
2;33;184;0.469;0.488
2;33;219;0.464;0.486
2;33;251;0.462;0.48
2;33;286;0.459;0.476
2;33;317;0.455;0.475
2;33;353;0.452;0.475
2;33;383;0.449;0.474
2;33;418;0.447;0.473
2;33;451;0.449;0.468
2;34;0;0.453;0.461
2;34;16;0.458;0.451
2;34;51;0.464;0.444
2;34;84;0.465;0.441
2;34;116;0.465;0.44
2;34;150;0.466;0.438
2;34;183;0.468;0.436
2;34;217;0.47;0.43
2;34;250;0.474;0.427
2;34;284;0.481;0.426
2;34;317;0.463;0.445
2;34;351;0.459;0.453
2;34;385;0.457;0.461
2;34;416;0.455;0.468
2;35;0;0.451;0.472
2;35;0;0.446;0.477
2;35;17;0.443;0.482
2;35;50;0.443;0.486
2;35;83;0.443;0.485
2;35;118;0.442;0.485
2;35;152;0.442;0.485
2;35;183;0.44;0.488
2;35;217;0.439;0.49
2;35;250;0.438;0.493
2;35;284;0.435;0.497
2;35;318;0.435;0.496
2;35;351;0.435;0.493
2;35;384;0.436;0.486
2;35;417;0.436;0.473
6;0;0;0.51;0.42
6;0;0;0.515;0.439
6;0;20;0.52;0.442
6;0;55;0.523;0.441
6;0;88;0.526;0.442
6;0;122;0.527;0.439
6;0;155;0.528;0.438
6;0;188;0.53;0.44
6;0;221;0.529;0.441
6;0;255;0.528;0.442
6;0;288;0.532;0.438
6;0;322;0.534;0.44
6;0;355;0.535;0.455
6;0;388;0.535;0.474
6;0;421;0.533;0.48
6;1;0;0.531;0.485
6;1;0;0.528;0.49
6;1;20;0.529;0.499
6;1;54;0.53;0.507
6;1;87;0.526;0.509
6;1;120;0.518;0.513
6;1;155;0.513;0.521
6;1;187;0.513;0.527
6;1;220;0.512;0.532
6;1;253;0.507;0.535
6;1;288;0.506;0.54
6;1;320;0.503;0.543
6;1;353;0.501;0.547
6;1;387;0.501;0.553
6;1;421;0.5;0.563
6;2;0;0.502;0.57
6;2;0;0.503;0.574
6;2;19;0.491;0.518
6;2;53;0.479;0.483
6;2;120;0.477;0.458
6;9;0;0.552;0.437
6;9;15;0.532;0.432
6;9;82;0.525;0.441
6;9;115;0.523;0.427
6;9;149;0.519;0.436
6;9;182;0.514;0.446
6;9;217;0.518;0.431
6;9;248;0.516;0.422
6;9;282;0.516;0.414
6;9;315;0.517;0.403
6;9;348;0.519;0.402
6;9;381;0.518;0.411
6;9;415;0.511;0.431
6;10;0;0.52;0.443
6;10;0;0.516;0.443
6;10;13;0.517;0.393
6;10;47;0.508;0.368
6;10;80;0.51;0.357
6;10;114;0.523;0.344
6;10;148;0.526;0.328
6;10;181;0.529;0.311
6;10;214;0.534;0.298
6;10;248;0.536;0.286
6;10;280;0.534;0.285
6;10;314;0.537;0.28
6;10;380;0.542;0.277
6;10;414;0.55;0.29
6;11;0;0.552;0.296
6;11;13;0.555;0.3
6;11;46;0.559;0.303
6;11;81;0.562;0.317
6;11;113;0.567;0.331
6;11;146;0.571;0.342
6;11;179;0.573;0.355
6;11;213;0.575;0.366
6;11;246;0.577;0.376
6;11;279;0.576;0.386
6;11;313;0.575;0.396
6;12;0;0.565;0.45
6;12;0;0.564;0.454
6;12;11;0.563;0.44
6;12;245;0.554;0.366
6;12;279;0.545;0.327
6;12;312;0.538;0.307
6;12;378;0.549;0.306
6;12;413;0.551;0.3
6;13;0;0.553;0.293
6;13;0;0.555;0.291
6;13;11;0.544;0.29
6;13;44;0.542;0.294
6;13;77;0.541;0.295
6;13;111;0.54;0.295
6;13;144;0.541;0.298
6;13;178;0.551;0.303
6;13;211;0.553;0.302
6;13;244;0.554;0.303
6;13;278;0.556;0.314
6;13;310;0.558;0.325
6;13;344;0.56;0.336
6;14;0;0.573;0.367
6;14;0;0.573;0.342
6;15;291;0.56;0.395
6;15;374;0.573;0.393
6;16;0;0.575;0.413
6;16;7;0.577;0.416
6;16;41;0.578;0.419
6;16;74;0.577;0.421
6;16;109;0.576;0.424
6;16;140;0.574;0.398
6;16;173;0.57;0.369
6;16;207;0.566;0.353
6;16;240;0.563;0.327
6;16;273;0.561;0.309
6;16;306;0.554;0.294
6;16;340;0.544;0.281
6;16;374;0.54;0.265
6;16;407;0.536;0.259
6;16;440;0.53;0.256
6;17;0;0.531;0.259
6;17;5;0.53;0.254
6;17;39;0.527;0.25
6;17;72;0.512;0.25
6;17;105;0.515;0.252
6;17;140;0.507;0.262
6;17;173;0.508;0.274
6;17;207;0.511;0.29
6;17;239;0.512;0.299
6;17;272;0.513;0.307
6;17;306;0.523;0.319
6;17;339;0.537;0.326
6;17;372;0.544;0.33
6;17;406;0.551;0.332
6;17;439;0.558;0.332
6;18;0;0.563;0.329
6;18;6;0.567;0.324
6;18;38;0.57;0.316
6;18;72;0.575;0.302
6;18;106;0.579;0.29
6;18;139;0.583;0.278
6;18;173;0.58;0.324
6;18;206;0.579;0.336
6;18;239;0.58;0.346
6;18;272;0.58;0.355
6;18;306;0.578;0.364
6;18;339;0.569;0.375
6;18;372;0.563;0.386
6;18;408;0.562;0.394
6;19;0;0.538;0.362
6;19;5;0.535;0.363
6;19;38;0.537;0.39
6;19;71;0.521;0.403
6;19;105;0.52;0.413
6;19;138;0.524;0.414
6;19;171;0.523;0.407
6;19;205;0.522;0.415
6;19;238;0.525;0.411
6;19;271;0.526;0.408
6;19;304;0.527;0.408
6;19;338;0.537;0.412
6;19;404;0.536;0.42
6;19;439;0.558;0.431
6;20;0;0.571;0.44
6;20;5;0.582;0.448
6;20;39;0.573;0.392
6;20;67;0.573;0.372
6;20;103;0.592;0.281
6;21;5;0.565;0.225
6;21;37;0.561;0.234
6;21;70;0.561;0.251
6;21;103;0.568;0.247
6;21;255;0.586;0.232
6;21;321;0.586;0.228
6;21;388;0.578;0.254
6;21;421;0.577;0.264
6;22;0;0.577;0.27
6;22;0;0.578;0.286
6;22;20;0.577;0.295
6;22;53;0.578;0.295
6;22;89;0.578;0.298
6;22;121;0.581;0.279
6;22;154;0.581;0.268
6;22;187;0.583;0.251
6;22;220;0.587;0.254
6;22;254;0.582;0.248
6;22;287;0.583;0.246
6;22;320;0.576;0.248
6;22;354;0.583;0.236
6;22;388;0.581;0.234
6;22;421;0.583;0.239
6;23;0;0.579;0.21
6;23;19;0.58;0.221
6;23;87;0.583;0.231
6;23;336;0.581;0.249
6;23;402;0.578;0.293
6;23;435;0.579;0.321
6;24;0;0.58;0.35
6;24;0;0.579;0.362
6;24;30;0.579;0.375
6;24;100;0.576;0.32
6;24;133;0.57;0.29
6;24;166;0.568;0.276
6;24;200;0.575;0.271
6;24;233;0.577;0.26
6;24;283;0.568;0.268
6;24;384;0.559;0.264
6;25;0;0.555;0.235
6;25;0;0.561;0.237
6;25;49;0.571;0.254
6;25;82;0.572;0.268
6;25;198;0.573;0.268
6;25;266;0.585;0.284
6;25;332;0.598;0.314
6;25;365;0.604;0.332
6;25;398;0.607;0.35
6;25;432;0.608;0.371
6;26;0;0.605;0.4
6;26;0;0.607;0.42
6;26;29;0.609;0.439
6;26;65;0.608;0.446
6;26;100;0.608;0.463
6;26;132;0.607;0.475
6;26;166;0.608;0.481
6;26;199;0.623;0.437
6;26;233;0.628;0.421
6;26;265;0.627;0.41
6;26;300;0.624;0.401
6;26;333;0.62;0.397
6;26;365;0.613;0.389
6;26;399;0.606;0.38
6;27;0;0.571;0.31
6;27;28;0.566;0.305
6;28;0;0.568;0.357
6;28;31;0.566;0.376
6;28;65;0.564;0.382
6;28;97;0.561;0.383
6;28;131;0.565;0.335
6;28;315;0.575;0.315
6;28;348;0.576;0.296
6;29;0;0.574;0.269
6;29;14;0.571;0.248
6;29;47;0.566;0.238
6;29;81;0.555;0.226
6;29;148;0.56;0.22
6;29;182;0.565;0.212
6;29;247;0.571;0.21
6;29;281;0.575;0.215
6;29;314;0.579;0.223
6;29;347;0.575;0.216
6;29;381;0.575;0.208
6;29;413;0.576;0.208
6;30;0;0.579;0.211
6;30;0;0.578;0.27
6;30;11;0.582;0.299
6;30;46;0.585;0.321
6;30;80;0.589;0.342
6;30;112;0.589;0.356
6;30;146;0.59;0.373
6;30;179;0.594;0.379
6;30;212;0.59;0.393
6;30;246;0.59;0.402
6;30;278;0.591;0.405
6;30;312;0.593;0.404
6;30;346;0.591;0.399
6;30;379;0.587;0.395
6;30;412;0.582;0.374
6;31;0;0.565;0.372
6;31;0;0.56;0.369
6;31;10;0.561;0.36
6;31;43;0.558;0.348
6;31;79;0.554;0.34
6;31;111;0.551;0.336
6;31;146;0.528;0.287
6;32;0;0.563;0.325
6;32;11;0.568;0.353
6;32;94;0.573;0.355
6;32;127;0.574;0.336
6;32;160;0.577;0.327
6;32;260;0.578;0.323
6;32;294;0.578;0.316
6;32;327;0.579;0.309
6;32;360;0.582;0.304
6;32;394;0.588;0.299
6;33;0;0.593;0.299
6;33;0;0.597;0.305
6;33;26;0.6;0.313
6;33;61;0.6;0.321
6;33;93;0.603;0.332
6;33;126;0.606;0.331
6;33;159;0.611;0.321
6;33;192;0.608;0.318
6;33;223;0.6;0.325
6;33;259;0.601;0.322
6;33;292;0.602;0.321
6;33;326;0.603;0.325
6;33;360;0.605;0.322
6;33;393;0.608;0.322
6;33;427;0.605;0.314
6;34;0;0.6;0.292
6;34;26;0.583;0.274
6;34;59;0.569;0.26
6;34;93;0.552;0.253
6;34;159;0.545;0.224
6;34;193;0.543;0.216
6;34;226;0.542;0.206
6;34;259;0.539;0.196
6;34;290;0.537;0.185
6;34;345;0.536;0.18
6;35;0;0.521;0.192
6;35;9;0.518;0.206
6;35;43;0.524;0.229
6;35;76;0.527;0.239
6;35;142;0.53;0.239
6;35;176;0.535;0.235
6;35;242;0.539;0.237
6;35;275;0.542;0.24
6;35;309;0.542;0.243
6;35;342;0.545;0.247
6;35;376;0.548;0.253
6;35;409;0.552;0.269
6;35;442;0.553;0.292
8;0;0;0.474;0.578
8;0;22;0.482;0.535
8;0;55;0.485;0.529
8;0;155;0.492;0.519
8;0;255;0.495;0.502
8;0;289;0.498;0.488
8;0;322;0.498;0.478
8;1;0;0.512;0.417
8;1;0;0.514;0.409
8;1;22;0.517;0.396
8;1;55;0.521;0.383
8;1;88;0.526;0.369
8;1;155;0.528;0.357
8;1;222;0.528;0.352
8;1;255;0.53;0.35
8;1;290;0.531;0.348
8;2;0;0.532;0.331
8;2;21;0.536;0.323
8;2;88;0.536;0.319
8;2;154;0.534;0.283
8;2;188;0.531;0.262
8;2;287;0.522;0.24
8;2;321;0.523;0.241
8;2;388;0.521;0.255
8;2;421;0.518;0.27
8;3;0;0.513;0.279
8;3;21;0.504;0.286
8;3;54;0.495;0.292
8;3;122;0.492;0.271
8;3;154;0.49;0.271
8;3;222;0.493;0.273
8;3;255;0.493;0.281
8;3;288;0.493;0.287
8;3;321;0.496;0.29
8;3;354;0.499;0.295
8;3;388;0.501;0.299
8;3;421;0.504;0.306
8;4;0;0.506;0.303
8;4;21;0.508;0.298
8;4;54;0.509;0.29
8;4;120;0.508;0.267
8;4;153;0.508;0.256
8;4;186;0.508;0.249
8;4;220;0.507;0.242
8;4;253;0.505;0.237
8;4;290;0.503;0.23
8;4;320;0.503;0.222
8;4;353;0.504;0.218
8;4;386;0.501;0.221
8;4;420;0.5;0.225
8;5;0;0.496;0.237
8;5;20;0.496;0.252
8;5;53;0.494;0.265
8;5;87;0.492;0.276
8;5;119;0.493;0.291
8;5;152;0.494;0.307
8;5;187;0.497;0.325
8;5;221;0.499;0.343
8;5;253;0.501;0.363
8;5;287;0.504;0.387
8;5;321;0.505;0.403
8;5;353;0.506;0.408
8;5;420;0.5;0.405
8;6;0;0.499;0.406
8;6;0;0.495;0.403
8;6;20;0.507;0.373
8;6;87;0.51;0.371
8;6;120;0.508;0.37
8;6;154;0.507;0.362
8;6;187;0.509;0.356
8;6;253;0.513;0.341
8;6;286;0.517;0.325
8;6;320;0.524;0.31
8;6;387;0.525;0.294
8;6;420;0.524;0.283
8;7;0;0.524;0.27
8;7;0;0.525;0.26
8;7;18;0.523;0.257
8;7;52;0.522;0.26
8;7;86;0.523;0.253
8;7;120;0.522;0.25
8;7;152;0.521;0.245
8;7;186;0.522;0.232
8;7;252;0.522;0.223
8;7;286;0.522;0.217
8;7;319;0.52;0.213
8;7;352;0.518;0.209
8;8;0;0.514;0.211
8;8;19;0.509;0.235
8;8;86;0.508;0.241
8;8;119;0.509;0.237
8;8;153;0.505;0.247
8;8;186;0.498;0.26
8;8;219;0.494;0.265
8;8;285;0.493;0.262
8;8;319;0.491;0.262
8;8;352;0.491;0.26
8;8;386;0.491;0.264
8;8;420;0.49;0.267
8;9;0;0.49;0.261
8;9;0;0.495;0.261
8;9;18;0.499;0.265
8;9;51;0.506;0.27
8;9;85;0.506;0.276
8;9;118;0.506;0.277
8;9;151;0.507;0.28
8;9;185;0.506;0.282
8;9;218;0.507;0.284
8;9;286;0.507;0.288
8;9;318;0.509;0.289
8;9;351;0.512;0.283
8;9;384;0.519;0.248
8;9;418;0.522;0.239
8;10;0;0.523;0.232
8;10;0;0.522;0.226
8;10;18;0.522;0.221
8;10;52;0.524;0.218
8;10;87;0.523;0.224
8;10;119;0.519;0.221
8;10;151;0.518;0.22
8;10;185;0.511;0.205
8;10;218;0.508;0.198
8;10;252;0.507;0.189
8;10;285;0.507;0.182
8;10;318;0.508;0.175
8;10;351;0.5;0.192
8;10;385;0.498;0.204
8;10;418;0.498;0.218
8;11;0;0.501;0.236
8;11;0;0.494;0.227
8;11;17;0.493;0.233
8;11;84;0.492;0.244
8;11;118;0.491;0.257
8;11;150;0.49;0.249
8;11;217;0.491;0.258
8;11;252;0.492;0.26
8;11;284;0.493;0.265
8;11;317;0.493;0.275
8;11;350;0.495;0.277
8;11;384;0.497;0.281
8;12;0;0.5;0.287
8;12;17;0.501;0.283
8;12;83;0.503;0.281
8;12;116;0.505;0.275
8;12;149;0.502;0.26
8;12;183;0.497;0.253
8;12;216;0.492;0.252
8;12;250;0.488;0.248
8;12;316;0.485;0.243
8;12;351;0.485;0.242
8;12;382;0.484;0.238
8;12;416;0.483;0.235
8;13;0;0.485;0.232
8;13;0;0.484;0.229
8;13;15;0.482;0.226
8;13;49;0.481;0.224
8;13;83;0.48;0.221
8;13;115;0.478;0.221
8;13;149;0.476;0.222
8;13;182;0.476;0.223
8;13;216;0.475;0.226
8;13;249;0.476;0.232
8;13;282;0.476;0.236
8;13;316;0.477;0.241
8;13;348;0.477;0.245
8;13;382;0.478;0.249
8;13;414;0.478;0.253
8;14;0;0.48;0.291
8;14;0;0.481;0.312
8;14;14;0.483;0.327
8;14;47;0.485;0.342
8;14;82;0.488;0.358
8;14;115;0.491;0.385
8;14;148;0.48;0.411
8;14;180;0.478;0.42
8;14;216;0.479;0.425
8;14;250;0.482;0.432
8;14;281;0.486;0.441
8;14;315;0.496;0.439
8;14;349;0.507;0.446
8;14;380;0.513;0.438
8;15;0;0.499;0.41
8;15;0;0.498;0.397
8;15;14;0.497;0.384
8;15;47;0.496;0.373
8;15;80;0.494;0.362
8;15;115;0.493;0.351
8;15;147;0.492;0.339
8;15;181;0.492;0.325
