#[RespondentNr];[StimulusNr];[timestamp ms];[Gaze x %];[Gaze y %]
8;15;214;0.492;0.314
8;15;247;0.493;0.304
8;15;280;0.493;0.296
8;15;314;0.493;0.288
8;15;348;0.492;0.282
8;15;381;0.49;0.275
8;15;413;0.488;0.27
8;16;0;0.491;0.269
8;16;0;0.495;0.285
8;16;47;0.495;0.315
8;16;81;0.494;0.33
8;16;113;0.493;0.343
8;16;147;0.493;0.356
8;16;180;0.492;0.369
8;16;213;0.489;0.384
8;16;246;0.488;0.4
8;16;313;0.484;0.419
8;16;347;0.482;0.433
8;16;380;0.487;0.403
8;16;414;0.481;0.421
8;17;0;0.491;0.419
8;17;0;0.485;0.414
8;17;13;0.486;0.417
8;17;46;0.488;0.421
8;17;78;0.494;0.419
8;17;113;0.498;0.414
8;17;147;0.503;0.402
8;17;179;0.506;0.393
8;17;245;0.5;0.369
8;17;278;0.5;0.355
8;17;312;0.5;0.342
8;17;346;0.501;0.328
8;17;380;0.503;0.314
8;17;413;0.503;0.304
8;17;446;0.504;0.29
8;18;0;0.504;0.279
8;18;11;0.504;0.271
8;18;44;0.503;0.264
8;18;111;0.493;0.291
8;18;145;0.489;0.3
8;18;178;0.489;0.306
8;18;212;0.486;0.311
8;18;244;0.484;0.315
8;18;278;0.483;0.321
8;18;311;0.484;0.328
8;18;344;0.484;0.338
8;18;378;0.486;0.346
8;18;411;0.498;0.324
8;19;0;0.495;0.322
8;19;0;0.497;0.323
8;19;10;0.498;0.326
8;19;44;0.497;0.329
8;19;77;0.499;0.335
8;19;112;0.503;0.335
8;19;145;0.504;0.329
8;19;177;0.506;0.325
8;19;210;0.507;0.317
8;19;245;0.509;0.31
8;19;276;0.511;0.304
8;19;310;0.51;0.297
8;19;344;0.51;0.291
8;19;377;0.51;0.283
8;19;410;0.508;0.278
8;20;0;0.507;0.274
8;20;0;0.505;0.268
8;20;10;0.505;0.264
8;20;42;0.504;0.26
8;20;77;0.503;0.294
8;20;109;0.502;0.308
8;20;143;0.501;0.323
8;20;176;0.5;0.335
8;20;209;0.501;0.347
8;20;242;0.497;0.377
8;20;277;0.495;0.395
8;20;309;0.491;0.478
8;20;345;0.492;0.486
8;20;376;0.497;0.484
8;20;410;0.504;0.478
8;21;0;0.494;0.476
8;21;9;0.501;0.458
8;21;40;0.507;0.434
8;21;74;0.508;0.428
8;21;106;0.509;0.424
8;21;141;0.516;0.408
8;21;174;0.517;0.398
8;21;208;0.518;0.387
8;21;240;0.518;0.378
8;21;274;0.517;0.367
8;21;308;0.518;0.357
8;21;341;0.519;0.349
8;21;374;0.521;0.352
8;21;410;0.521;0.345
8;21;441;0.519;0.34
8;22;0;0.519;0.334
8;22;6;0.519;0.31
8;22;39;0.517;0.308
8;22;73;0.514;0.305
8;22;106;0.512;0.303
8;22;141;0.511;0.309
8;22;172;0.512;0.315
8;22;206;0.514;0.32
8;22;240;0.515;0.32
8;22;273;0.519;0.309
8;22;307;0.518;0.301
8;22;340;0.518;0.299
8;22;373;0.517;0.306
8;22;406;0.518;0.32
8;22;440;0.519;0.334
8;23;0;0.52;0.341
8;23;6;0.522;0.353
8;23;39;0.524;0.362
8;23;71;0.526;0.37
8;23;105;0.527;0.377
8;23;139;0.529;0.381
8;23;171;0.529;0.383
8;23;205;0.529;0.387
8;23;239;0.528;0.388
8;23;272;0.527;0.391
8;23;306;0.528;0.39
8;23;339;0.53;0.379
8;23;373;0.529;0.37
8;23;406;0.528;0.364
8;23;440;0.528;0.357
8;24;0;0.527;0.35
8;24;0;0.526;0.342
8;24;32;0.525;0.336
8;24;65;0.524;0.329
8;24;98;0.524;0.318
8;24;133;0.519;0.308
8;24;166;0.519;0.314
8;24;199;0.517;0.314
8;24;232;0.518;0.317
8;24;265;0.513;0.3
8;24;299;0.51;0.293
8;24;333;0.509;0.287
8;24;366;0.507;0.288
8;24;400;0.505;0.291
8;24;432;0.504;0.292
8;25;0;0.504;0.299
8;25;0;0.505;0.305
8;25;32;0.505;0.312
8;25;65;0.504;0.322
8;25;98;0.503;0.339
8;25;131;0.502;0.352
8;25;165;0.504;0.361
8;25;198;0.506;0.369
8;25;232;0.507;0.371
8;25;265;0.509;0.376
8;25;298;0.512;0.383
8;25;332;0.515;0.389
8;25;365;0.513;0.394
8;25;399;0.516;0.399
8;25;431;0.519;0.405
8;26;0;0.522;0.409
8;26;0;0.518;0.453
8;26;30;0.51;0.474
8;26;64;0.507;0.489
8;26;97;0.52;0.506
8;26;130;0.523;0.516
8;26;163;0.518;0.519
8;26;197;0.523;0.534
8;26;230;0.525;0.541
8;26;263;0.516;0.527
8;26;299;0.511;0.522
8;26;331;0.508;0.523
8;26;364;0.513;0.528
8;26;397;0.516;0.531
8;26;431;0.522;0.517
8;27;0;0.52;0.508
8;27;0;0.513;0.492
8;27;30;0.51;0.477
8;27;64;0.508;0.464
8;27;98;0.506;0.456
8;27;131;0.506;0.449
8;27;164;0.505;0.441
8;27;196;0.502;0.433
8;27;232;0.5;0.424
8;27;264;0.499;0.42
8;27;297;0.498;0.416
8;27;331;0.496;0.413
8;27;364;0.493;0.409
8;27;397;0.49;0.406
8;27;433;0.488;0.412
8;28;0;0.497;0.466
8;28;0;0.5;0.491
8;28;28;0.501;0.51
8;28;63;0.499;0.529
8;28;96;0.496;0.532
8;28;129;0.488;0.526
8;28;196;0.491;0.52
8;28;229;0.5;0.531
8;28;296;0.488;0.529
8;28;330;0.488;0.53
8;28;363;0.5;0.54
8;28;397;0.501;0.545
8;28;430;0.501;0.52
8;29;0;0.496;0.512
8;29;0;0.497;0.513
8;29;29;0.494;0.507
8;29;62;0.494;0.502
8;29;96;0.493;0.495
8;29;129;0.494;0.488
8;29;164;0.495;0.482
8;29;196;0.496;0.48
8;29;230;0.498;0.479
8;29;263;0.498;0.478
8;29;297;0.498;0.477
8;29;363;0.499;0.475
8;29;396;0.496;0.47
8;30;0;0.493;0.465
8;30;0;0.49;0.463
8;30;28;0.477;0.483
8;30;63;0.471;0.492
8;30;95;0.47;0.497
8;30;128;0.473;0.495
8;30;161;0.476;0.491
8;30;195;0.478;0.49
8;30;228;0.482;0.495
8;30;262;0.485;0.505
8;30;295;0.487;0.511
8;30;328;0.49;0.517
8;30;362;0.494;0.534
8;30;395;0.495;0.535
8;31;0;0.482;0.51
8;31;0;0.478;0.501
8;31;28;0.475;0.499
8;31;60;0.474;0.495
8;31;128;0.473;0.488
8;31;160;0.474;0.481
8;31;195;0.472;0.475
8;31;227;0.47;0.471
8;31;261;0.47;0.467
8;31;294;0.468;0.463
8;31;362;0.469;0.456
8;31;395;0.467;0.449
8;31;430;0.469;0.447
8;32;0;0.469;0.439
8;32;0;0.46;0.46
8;32;28;0.469;0.478
8;32;61;0.478;0.491
8;32;94;0.483;0.509
8;32;128;0.48;0.526
8;32;161;0.477;0.542
8;32;194;0.47;0.549
8;32;261;0.465;0.55
8;32;294;0.471;0.553
8;32;328;0.482;0.556
8;32;362;0.475;0.554
8;32;395;0.479;0.546
8;32;427;0.48;0.548
8;33;0;0.487;0.547
8;33;0;0.488;0.523
8;33;26;0.49;0.519
8;33;59;0.497;0.515
8;33;93;0.496;0.501
8;33;127;0.497;0.494
8;33;160;0.498;0.487
8;33;195;0.499;0.477
8;33;227;0.49;0.457
8;33;260;0.49;0.444
8;33;293;0.488;0.432
8;33;327;0.484;0.412
8;33;361;0.482;0.399
8;33;395;0.481;0.389
8;34;0;0.48;0.378
8;34;0;0.481;0.368
8;34;26;0.482;0.364
8;34;60;0.482;0.36
8;34;95;0.477;0.341
8;34;126;0.474;0.332
8;34;160;0.473;0.322
8;34;194;0.473;0.315
8;34;226;0.471;0.308
8;34;260;0.471;0.304
8;34;293;0.471;0.298
8;34;327;0.472;0.294
8;34;360;0.472;0.291
8;34;393;0.472;0.288
8;34;427;0.472;0.285
8;35;0;0.472;0.284
8;35;0;0.471;0.282
8;35;25;0.471;0.282
8;35;59;0.471;0.283
8;35;92;0.472;0.287
8;35;125;0.473;0.291
8;35;159;0.474;0.294
8;35;193;0.477;0.297
8;35;226;0.477;0.3
8;35;258;0.478;0.301
8;35;293;0.479;0.303
8;35;325;0.478;0.302
8;35;358;0.475;0.3
8;35;392;0.475;0.3
8;35;426;0.474;0.299
10;0;0;0.376;0.187
10;0;8;0.369;0.182
10;0;88;0.374;0.207
10;0;123;0.385;0.262
10;0;156;0.392;0.3
10;0;190;0.399;0.325
10;0;223;0.4;0.333
10;0;256;0.403;0.341
10;0;323;0.411;0.354
10;0;357;0.413;0.365
10;1;0;0.417;0.395
10;1;0;0.431;0.428
10;1;53;0.434;0.432
10;1;89;0.432;0.431
10;1;120;0.432;0.434
10;1;187;0.433;0.438
10;1;223;0.433;0.44
10;1;288;0.436;0.445
10;2;0;0.439;0.419
10;2;65;0.442;0.412
10;2;99;0.443;0.41
10;2;166;0.444;0.417
10;2;199;0.445;0.42
10;2;232;0.443;0.427
10;2;265;0.443;0.433
10;2;299;0.442;0.44
10;2;333;0.443;0.445
10;2;366;0.442;0.449
10;2;399;0.436;0.455
10;2;435;0.436;0.458
10;3;0;0.432;0.466
10;3;0;0.432;0.478
10;3;30;0.429;0.492
10;3;66;0.432;0.505
10;3;99;0.433;0.518
10;3;132;0.432;0.534
10;3;165;0.433;0.534
10;3;199;0.433;0.536
10;3;232;0.429;0.539
10;3;266;0.428;0.542
10;3;299;0.426;0.536
10;3;332;0.424;0.516
10;3;365;0.424;0.503
10;3;399;0.423;0.495
10;3;432;0.423;0.492
10;4;0;0.424;0.5
10;4;0;0.424;0.5
10;4;31;0.426;0.499
10;4;64;0.427;0.495
10;4;98;0.428;0.495
10;4;131;0.426;0.495
10;4;164;0.427;0.497
10;4;195;0.426;0.5
10;4;231;0.424;0.501
10;4;264;0.42;0.505
10;4;298;0.417;0.508
10;5;0;0.409;0.561
10;5;0;0.408;0.574
10;5;264;0.417;0.559
10;5;298;0.419;0.548
10;5;330;0.423;0.538
10;5;399;0.426;0.523
10;5;432;0.43;0.512
10;6;0;0.433;0.502
10;6;0;0.438;0.5
10;6;30;0.443;0.517
10;6;63;0.442;0.546
10;6;96;0.444;0.567
10;6;130;0.448;0.582
10;6;163;0.451;0.603
10;6;196;0.453;0.617
10;6;230;0.453;0.627
10;6;263;0.452;0.637
10;6;297;0.448;0.647
10;6;330;0.449;0.659
10;6;364;0.451;0.667
10;6;397;0.453;0.665
10;6;431;0.453;0.664
10;7;0;0.454;0.656
10;7;0;0.453;0.648
10;7;29;0.453;0.641
10;7;63;0.454;0.631
10;7;97;0.453;0.621
10;7;130;0.452;0.611
10;7;163;0.452;0.6
10;7;196;0.453;0.589
10;7;231;0.452;0.579
10;7;264;0.453;0.571
10;7;297;0.454;0.561
10;7;329;0.454;0.552
10;7;366;0.452;0.544
10;7;397;0.45;0.536
10;7;430;0.447;0.528
10;8;0;0.445;0.522
10;8;0;0.443;0.519
10;8;29;0.441;0.516
10;8;62;0.439;0.514
10;8;93;0.438;0.514
10;8;129;0.439;0.514
10;8;164;0.44;0.516
10;8;195;0.439;0.516
10;8;228;0.439;0.515
10;10;0;0.44;0.52
10;10;28;0.436;0.529
10;10;61;0.435;0.537
10;10;97;0.434;0.543
10;10;161;0.434;0.546
10;10;195;0.436;0.547
10;10;228;0.438;0.548
10;10;295;0.437;0.549
10;10;328;0.44;0.554
10;11;0;0.446;0.578
10;11;0;0.446;0.587
10;11;28;0.444;0.589
10;11;61;0.444;0.592
10;11;95;0.442;0.589
10;11;161;0.441;0.588
10;11;194;0.44;0.586
10;11;226;0.443;0.589
10;11;291;0.444;0.591
10;11;328;0.445;0.594
10;11;358;0.445;0.593
10;11;427;0.447;0.59
10;12;0;0.449;0.587
10;12;26;0.447;0.571
10;12;60;0.448;0.568
10;13;194;0.436;0.568
10;14;8;0.432;0.582
10;14;40;0.434;0.592
10;14;70;0.432;0.606
10;14;108;0.432;0.624
10;14;292;0.434;0.64
10;15;0;0.442;0.665
10;15;0;0.44;0.659
10;15;192;0.443;0.667
10;15;223;0.445;0.666
10;15;257;0.447;0.666
10;16;0;0.433;0.603
10;16;156;0.437;0.604
10;16;190;0.443;0.607
10;16;223;0.446;0.608
10;16;255;0.445;0.605
10;16;290;0.437;0.603
10;16;324;0.433;0.602
10;17;0;0.441;0.57
10;17;0;0.441;0.563
10;17;22;0.444;0.562
10;17;56;0.446;0.564
10;17;90;0.449;0.565
10;17;123;0.45;0.572
10;17;156;0.451;0.573
10;17;189;0.449;0.575
10;17;223;0.449;0.576
10;17;256;0.448;0.58
10;17;289;0.449;0.581
10;18;0;0.453;0.584
10;18;0;0.454;0.584
10;18;32;0.455;0.584
10;18;68;0.453;0.576
10;18;134;0.451;0.571
10;18;167;0.45;0.567
10;18;202;0.451;0.562
10;18;268;0.461;0.583
10;18;302;0.462;0.998
10;18;331;0.459;1.025
10;18;369;0.446;1.024
10;18;400;0.446;0.986
10;19;0;0.456;0.92
10;19;0;0.46;0.894
10;19;30;0.46;0.874
10;19;64;0.46;0.849
10;19;98;0.46;0.83
10;19;128;0.46;0.815
10;19;163;0.461;0.758
10;19;199;0.461;0.745
10;19;233;0.459;0.733
10;19;266;0.46;0.717
10;19;299;0.461;0.698
10;19;332;0.46;0.688
10;19;361;0.46;0.68
10;19;399;0.462;0.673
10;19;434;0.463;0.659
10;20;0;0.468;0.654
10;20;0;0.471;0.656
10;20;30;0.468;0.683
10;20;66;0.468;0.695
10;20;97;0.468;0.708
10;20;132;0.47;0.714
10;20;166;0.469;0.727
10;20;199;0.468;0.738
10;20;232;0.468;0.748
10;20;266;0.467;0.76
10;20;299;0.467;0.767
10;20;333;0.466;0.774
10;20;367;0.465;0.782
10;20;398;0.463;0.788
10;20;432;0.462;0.796
10;21;0;0.461;0.805
10;21;0;0.46;0.809
10;21;30;0.46;0.809
10;21;65;0.459;0.806
10;21;98;0.451;0.784
10;21;131;0.445;0.76
10;21;165;0.439;0.74
10;21;197;0.437;0.724
10;21;265;0.443;0.702
10;21;298;0.439;0.687
10;21;331;0.438;0.671
10;21;365;0.44;0.662
10;21;402;0.44;0.646
10;21;432;0.441;0.636
10;22;0;0.439;0.625
10;22;0;0.437;0.614
10;22;29;0.435;0.603
10;22;59;0.433;0.592
10;22;98;0.432;0.583
10;22;130;0.43;0.579
10;22;165;0.431;0.58
10;22;198;0.431;0.58
10;22;231;0.434;0.578
10;22;264;0.435;0.579
10;22;298;0.436;0.58
10;22;331;0.437;0.582
10;22;365;0.438;0.584
10;22;398;0.438;0.585
10;22;431;0.44;0.587
10;23;0;0.443;0.587
10;23;0;0.448;0.596
10;23;30;0.45;0.598
10;23;64;0.452;0.6
10;23;97;0.456;0.602
10;23;130;0.458;0.604
10;23;164;0.46;0.605
10;23;197;0.462;0.607
10;23;231;0.464;0.607
10;23;263;0.463;0.608
10;23;297;0.464;0.609
10;23;330;0.466;0.609
10;23;364;0.466;0.61
10;23;397;0.466;0.61
10;23;430;0.467;0.615
10;24;0;0.467;0.619
10;24;0;0.466;0.621
10;24;28;0.464;0.622
10;24;64;0.461;0.624
10;24;96;0.459;0.622
10;24;130;0.459;0.619
10;24;163;0.459;0.611
10;24;196;0.46;0.6
10;24;229;0.459;0.592
10;24;260;0.454;0.581
10;24;293;0.448;0.568
10;24;329;0.446;0.56
10;24;363;0.448;0.555
10;24;391;0.451;0.554
10;24;429;0.456;0.551
10;25;0;0.46;0.553
10;25;0;0.462;0.549
10;25;29;0.462;0.55
10;25;63;0.459;0.548
10;25;96;0.458;0.545
10;25;130;0.459;0.542
10;25;158;0.459;0.542
10;25;196;0.459;0.542
10;25;229;0.457;0.543
10;25;263;0.457;0.543
10;25;296;0.458;0.545
10;25;329;0.457;0.547
10;25;363;0.456;0.554
10;25;394;0.457;0.558
10;26;0;0.457;0.56
10;26;0;0.456;0.561
10;26;26;0.458;0.566
10;26;64;0.458;0.611
10;26;94;0.458;0.624
10;26;129;0.459;0.64
10;26;161;0.458;0.657
10;26;195;0.456;0.673
10;26;228;0.457;0.685
10;26;261;0.456;0.677
10;26;295;0.453;0.658
10;26;324;0.453;0.655
10;26;362;0.453;0.648
10;26;395;0.454;0.644
10;26;429;0.455;0.641
10;27;0;0.455;0.637
10;27;0;0.458;0.631
10;27;28;0.46;0.63
10;27;61;0.46;0.624
10;27;92;0.462;0.618
10;27;161;0.466;0.575
10;27;226;0.463;0.58
10;27;294;0.46;0.586
10;27;394;0.461;0.582
10;28;0;0.455;0.556
10;28;0;0.451;0.548
10;28;25;0.448;0.544
10;28;60;0.443;0.547
10;28;88;0.44;0.549
10;28;126;0.438;0.551
10;28;160;0.438;0.553
10;28;193;0.439;0.554
10;28;221;0.44;0.552
10;28;260;0.438;0.548
10;28;292;0.438;0.546
10;28;326;0.438;0.544
10;28;358;0.438;0.54
10;28;388;0.438;0.537
10;28;426;0.437;0.535
10;29;0;0.438;0.535
10;29;0;0.437;0.533
10;29;25;0.437;0.531
10;29;59;0.437;0.532
10;29;92;0.437;0.534
10;29;122;0.437;0.534
10;29;159;0.435;0.534
10;29;193;0.434;0.537
10;29;225;0.434;0.54
10;29;259;0.434;0.546
10;29;327;0.433;0.55
10;29;358;0.433;0.555
10;29;390;0.435;0.56
10;29;421;0.437;0.565
10;30;0;0.44;0.57
10;30;0;0.441;0.573
10;30;25;0.444;0.576
10;30;60;0.447;0.584
10;30;91;0.451;0.609
10;30;124;0.454;0.634
10;30;158;0.456;0.652
10;30;192;0.459;0.672
10;30;225;0.463;0.688
10;30;256;0.464;0.7
10;30;291;0.467;0.709
10;30;325;0.47;0.716
10;30;359;0.476;0.706
10;30;387;0.479;0.703
10;30;425;0.475;0.663
10;31;0;0.473;0.648
10;31;0;0.472;0.639
10;31;24;0.472;0.63
10;31;57;0.471;0.624
10;31;90;0.469;0.616
10;31;124;0.465;0.605
10;31;158;0.462;0.594
10;31;189;0.46;0.582
10;31;224;0.456;0.567
10;31;257;0.453;0.557
10;31;286;0.45;0.544
10;31;322;0.446;0.533
10;31;357;0.443;0.522
10;31;391;0.439;0.514
10;31;424;0.439;0.545
10;32;0;0.439;0.566
10;32;0;0.438;0.578
10;32;23;0.44;0.59
10;32;56;0.438;0.604
10;32;89;0.438;0.616
10;32;126;0.438;0.627
10;32;156;0.438;0.641
10;32;189;0.441;0.653
10;32;222;0.443;0.663
10;32;287;0.446;0.673
10;32;322;0.449;0.682
10;32;356;0.452;0.689
10;32;390;0.449;0.685
10;32;423;0.45;0.698
10;33;0;0.453;0.707
10;33;0;0.45;0.699
10;33;21;0.451;0.68
10;33;55;0.45;0.667
10;34;71;0.435;0.478
10;34;105;0.434;0.467
10;34;139;0.437;0.453
10;34;204;0.438;0.443
10;34;304;0.438;0.437
10;35;0;0.441;0.426
10;35;0;0.44;0.424
10;35;19;0.437;0.427
10;35;86;0.44;0.437